Reporter,Partner,Flow,Value,Unit,FlowYear,FlowSourceUrl,FlowSource,FlowSourceRate,Balance,ReporterIso,PartnerIso,BalanceSourceUrl,BalanceSource,GDP,flowRank
Antigua and Barbuda,Thailand,Export,4,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/export/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,THA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,5
Antigua and Barbuda,United States,Import,199,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/import/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,1
Antigua and Barbuda,Poland,Import,187,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/import/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,POL,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,2
Antigua and Barbuda,France,Import,57,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/import/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,3
Antigua and Barbuda,China,Import,53,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/import/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,4
Antigua and Barbuda,Finland,Import,24,USD (million),2014,http://atlas.media.mit.edu/en/visualize/tree_map/hs07/import/atg/show/all/2014/,The Observatory of Economic Complexity,,-122,ATG,FIN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,1259,5
Argentina,Brazil,Export,"10,099",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,BRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,1
Argentina,China,Export,"5,174",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,2
Argentina,United States,Export,"3,433",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,3
Argentina,Chile,Export,"2,403",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/arg,World Integrated Trade Solution,,-12720,ARG,CHL,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,583169,4
